run,best_weight_lb,best_objective_lb_equiv,best_violation,best_d1_in,best_d2_in,best_d3_in,gear_deflection_in_opt,gear_deflection_in_final,required_d1_in,required_d2_in,required_d3_in
39,17.3485314745277,17.48560544269558,0.0,1.5330103798051804,1.827096008143602,1.7452431415566527,0.0049974424938423485,0.004983681791915953,1.5328078231053681,1.651692543058197,1.4942084936164375
40,17.353093476613825,17.48914269955533,0.0,1.5329129942662048,1.8290935578039431,1.7437886721238203,0.0049974505463139095,0.004984048445600069,1.5328078231053681,1.651692543058197,1.4942084936164375
41,17.35426755109916,17.492187431043966,0.0,1.533819080896467,1.8277740477863582,1.7448451081446041,0.004996811340970761,0.00498316608889221,1.5328078231053681,1.651692543058197,1.4942084936164375
42,17.34922201511611,17.485912619496254,0.0,1.5328817224691051,1.828061140430798,1.7443889543007152,0.004998419865317306,0.004984845993417116,1.5328078231053681,1.651692543058197,1.4942084936164375
43,17.352250735440755,17.488372036061172,0.0,1.5329402180621947,1.8268886485158349,1.7459757566585987,0.004993678902485503,0.004979828263679776,1.5328078231053681,1.651692543058197,1.4942084936164375
44,17.34935635811417,17.48681534021229,0.0,1.533270717279334,1.8259989841603286,1.7463598693076814,0.0049954193605866,0.004981433358051202,1.5328078231053681,1.651692543058197,1.4942084936164375
45,17.355785168188962,17.49174089683263,0.0,1.5330964985548223,1.82925719148645,1.7438669766660782,0.004996168448108827,0.0049827783116799754,1.5328078231053681,1.651692543058197,1.4942084936164375
46,17.34629189997162,17.483683576824717,0.0,1.5329867527087633,1.8259393078162915,1.7461776468592882,0.00499688259841983,0.004982905396161124,1.5328078231053681,1.651692543058197,1.4942084936164375
47,17.345783956084517,17.482984870794038,0.0,1.5328699152889933,1.8258035165730642,1.7463158270224792,0.0049966352424665565,0.004982629736099165,1.5328078231053681,1.651692543058197,1.4942084936164375
48,17.34564252988083,17.48390704935093,0.0,1.5332756752693868,1.8263916154053907,1.7454687351951843,0.004999322402200532,0.004985461626459598,1.5328078231053681,1.651692543058197,1.4942084936164375
49,17.34905178231385,17.485680577029072,0.0,1.5328846337516313,1.826682636194915,1.7458090008597018,0.004995736542360017,0.004981877258657187,1.5328078231053681,1.651692543058197,1.4942084936164375
50,17.351367711530976,17.49040334844321,0.0,1.534096503691232,1.8256297572362905,1.7465694733847947,0.004995819248994296,0.004981774369821505,1.5328078231053681,1.651692543058197,1.4942084936164375
51,17.35844657706917,17.49361810342473,0.0,1.5329588091928414,1.8305297277084436,1.7429468775121741,0.004996180306280663,0.004983017378923012,1.5328078231053681,1.651692543058197,1.4942084936164375
52,17.34727484834174,17.48772716321053,0.0,1.5343399633715655,1.8253465785161798,1.7462106880623927,0.004999487144267709,0.00498544277080545,1.5328078231053681,1.651692543058197,1.4942084936164375
53,17.350343613634653,17.489721640611172,0.0,1.5341431376057835,1.8258728240865953,1.7461590466588632,0.004997316058606574,0.004983336079008761,1.5328078231053681,1.651692543058197,1.4942084936164375
54,17.35351805058794,17.491985799500203,0.0,1.5339944535736405,1.827310380405472,1.7451417300980039,0.004997081434537937,0.00498335702666728,1.5328078231053681,1.651692543058197,1.4942084936164375
55,17.348566497704187,17.487461710984032,0.0,1.533775807152516,1.8265363232337646,1.7454299756188485,0.004998884889929205,0.004985045514495556,1.5328078231053681,1.651692543058197,1.4942084936164375
56,17.357236294191072,17.49216645210203,0.0,1.5328938814980706,1.8261767091095629,1.7473858236941582,0.004987951021034874,0.0049738921116018395,1.5328078231053681,1.651692543058197,1.4942084936164375
57,17.360905506876,17.498723941198367,0.0,1.5342698715267107,1.8298902656106317,1.7432430844645999,0.0049972500941038965,0.004983991501787292,1.5328078231053681,1.651692543058197,1.4942084936164375
58,17.350363523365584,17.48717470823587,0.0,1.5330365488810291,1.8277658161960033,1.7447637421410966,0.004997380933806191,0.004983739963360984,1.5328078231053681,1.651692543058197,1.4942084936164375
59,17.34580622391962,17.484423569419643,0.0,1.5334353761500001,1.826342121182589,1.7454574140298962,0.004999630533346906,0.004985765557839561,1.5328078231053681,1.651692543058197,1.4942084936164375
